industry_category,stock_id,stock_name,type,date
航運業,2608,嘉里大榮,twse,2025-07-16
航運業,2609,陽明,twse,2025-07-16
航運業,2610,華航,twse,2025-07-16
航運業,2611,志信,twse,2025-07-16
航運業,2612,中航,twse,2025-07-16
航運業,2613,中櫃,twse,2025-07-16
其他,2614,東森,twse,2025-07-16
航運業,2615,萬海,twse,2025-07-16
油電燃氣業,2616,山隆,twse,2025-07-16
航運業,2617,台航,twse,2025-07-16
航運業,2618,長榮航,twse,2025-07-16
航運業,2630,亞航,twse,2025-07-16
航運業,2633,台灣高鐵,twse,2025-07-16
航運業,2634,漢翔,twse,2025-07-16
航運業,2636,台驊控股,twse,2025-07-16
航運業,2637,慧洋-KY,twse,2025-07-16
數位雲端類,2640,大車隊,tpex,2025-07-16
航運業,2641,正德,tpex,2025-07-16
航運業,2642,宅配通,twse,2025-07-16
航運業,2643,捷迅,tpex,2025-07-16
航運業,2645,長榮航太,twse,2025-07-16
航運業,2646,星宇航空,twse,2025-07-16
觀光餐旅,2701,萬企,twse,2025-07-16
觀光餐旅,2702,華園,twse,2025-07-16
觀光餐旅,2704,國賓,twse,2025-07-16
觀光餐旅,2705,六福,twse,2025-07-16
觀光餐旅,2706,第一店,twse,2025-07-16
觀光餐旅,2707,晶華,twse,2025-07-16
觀光餐旅,2712,遠雄來,twse,2025-07-16
建材營造,2718,全心投控,tpex,2025-07-16
觀光餐旅,2719,燦星旅,tpex,2025-07-16
觀光餐旅,2722,夏都,twse,2025-07-16
觀光餐旅,2723,美食-KY,twse,2025-07-16
其他,2724,藝舍-KY,tpex,2025-07-16
觀光餐旅,2726,雅茗-KY,tpex,2025-07-16
觀光餐旅,2727,王品,twse,2025-07-16
觀光餐旅,2729,瓦城,tpex,2025-07-16
觀光餐旅,2731,雄獅,twse,2025-07-16
觀光餐旅,2732,六角,tpex,2025-07-16
觀光餐旅,2734,易飛網,tpex,2025-07-16
觀光餐旅,2736,富野,tpex,2025-07-16
觀光餐旅,2739,寒舍,twse,2025-07-16
觀光餐旅,2740,天蔥,tpex,2025-07-16
觀光餐旅,2743,山富,tpex,2025-07-16
觀光餐旅,2745,五福,tpex,2025-07-16
觀光餐旅,2748,雲品,twse,2025-07-16
觀光餐旅,2751,王座,tpex,2025-07-16
觀光餐旅,2752,豆府,tpex,2025-07-16
觀光餐旅,2753,八方雲集,twse,2025-07-16
觀光餐旅,2754,亞洲藏壽司,tpex,2025-07-16
觀光餐旅,2755,揚秦,tpex,2025-07-16
觀光餐旅,2756,聯發國際,tpex,2025-07-16
運動休閒,2762,世界健身-KY,twse,2025-07-16
金融保險,2801,彰銀,twse,2025-07-16
金融保險,2807,竹商銀,twse,2024-12-04
金融保險,2809,京城銀,twse,2025-07-16
金融保險,2812,台中銀,twse,2025-07-16
