編號,公布日期,證券代號,證券名稱,處置起訖時間,處置原因,處置內容,收盤價,本益比
"14","114/08/18","6895","宏碩系統","114/08/19~114/09/01","因連續3個營業日達本中心作業要點第四條第一項第一款","宏碩系統股份有限公司股票(代號：6895)最近30個營業日內曾發布處置，又因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自114年08月19日起10個營業日(114年08月19日至114年09月01日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每20分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。","269.00","92.76"
"15","114/08/18","8358","金居","114/08/19~114/09/01","因連續3個營業日達本中心作業要點第四條第一項第一款","金居開發股份有限公司股票(代號：8358)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自114年08月19日起10個營業日(114年08月19日至114年09月01日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。","184.50","54.91"
"16","114/08/15","3555","博士旺","114/08/18~114/08/29","因連續3個營業日達本中心作業要點第四條第一項第一款","博士旺創新股份有限公司股票(代號：3555)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自114年08月18日起10個營業日(114年08月18日至114年08月29日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","60.20","N/A"
"17","114/08/14","23682","金像電二","114/08/15~114/08/28","因連續3個營業日達本中心作業要點第四條第一項第一款","金像電子股份有限公司國內第二次無擔保轉換公司債(代號：23682)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自114年08月15日起10個營業日(114年08月15日至114年08月28日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","218.00","N/A"
"18","114/08/14","5475","德宏","114/08/15~114/08/28","連續5個營業日","德宏工業股份有限公司股票(代號：5475)因連續5個營業日經本中心公布注意交易資訊，爰自114年08月15日起10個營業日(114年08月15日至114年08月28日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","48.70","N/A"
"19","114/08/13","4991","環宇-KY","114/08/14~114/08/27","最近10個營業日內有6個營業日","環宇通訊半導體控股股份有限公司股票(代號：4991)最近30個營業日內曾發布處置，又因最近10個營業日內有6個營業日經本中心公布注意交易資訊，爰自114年08月14日起10個營業日(114年08月14日至114年08月27日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每20分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。","165.00","N/A"
"20","114/08/13","6727","亞泰金屬","114/08/14~114/08/27","因連續3個營業日達本中心作業要點第四條第一項第一款","亞泰金屬工業股份有限公司股票(代號：6727)最近30個營業日內曾發布處置，又因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自114年08月14日起10個營業日(114年08月14日至114年08月27日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每20分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","150.50","39.19"
"21","114/08/13","6895","宏碩系統","114/08/14~114/08/27","因連續3個營業日達本中心作業要點第四條第一項第一款","宏碩系統股份有限公司股票(代號：6895)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自114年08月14日起10個營業日(114年08月14日至114年08月27日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。","235.50","81.21"
"22","114/08/13","8935","邦泰","114/08/14~114/08/27","因連續3個營業日達本中心作業要點第四條第一項第一款","邦泰複合材料股份有限公司股票(代號：8935)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自114年08月14日起10個營業日(114年08月14日至114年08月27日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","23.70","N/A"
"23","114/08/08","6129","普誠","114/08/11~114/08/22","因連續3個營業日達本中心作業要點第四條第一項第一款","普誠科技股份有限公司股票(代號：6129)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自114年08月11日起10個營業日(114年08月11日至114年08月22日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。暫停融資券交易，但信用交易了結或違約專戶委託買賣該有價證券時，不在此限。","13.90","N/A"
"24","114/08/08","6727","亞泰金屬","114/08/11~114/08/22","因連續3個營業日達本中心作業要點第四條第一項第一款","亞泰金屬工業股份有限公司股票(代號：6727)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自114年08月11日起10個營業日(114年08月11日至114年08月22日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","118.50","23.05"
"25","114/08/08","8038","長園科","114/08/11~114/08/22","連續5個營業日","長園科技實業股份有限公司股票(代號：8038)因連續5個營業日經本中心公布注意交易資訊，爰自114年08月11日起10個營業日(114年08月11日至114年08月22日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","49.20","N/A"
"26","114/08/06","3623","富晶通","114/08/07~114/08/20","因連續3個營業日達本中心作業要點第四條第一項第一款","富晶通科技股份有限公司股票(代號：3623)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自114年08月07日起10個營業日(114年08月07日至114年08月20日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。","24.65","N/A"
"27","114/08/06","8472","夠麻吉","114/08/07~114/08/20","因連續3個營業日達本中心作業要點第四條第一項第一款","夠麻吉股份有限公司股票(代號：8472)最近30個營業日內曾發布處置，又因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自114年08月07日起10個營業日(114年08月07日至114年08月20日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每20分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","80.40","N/A"
"28","114/08/05","4804","大略-KY","114/08/06~114/08/19","因連續3個營業日達本中心作業要點第四條第一項第一款","大略國際控股有限公司股票(代號：4804)最近30個營業日內曾發布處置，又因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自114年08月06日起10個營業日(114年08月06日至114年08月19日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每60分鐘撮合一次)，另依本中心業務規則第12條規定：各證券商於投資人每日委託買賣該有價證券，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","10.00","N/A"
"29","114/08/01","3081","聯亞","114/08/04~114/08/15","連續5個營業日","聯亞光電工業股份有限公司股票(代號：3081)最近30個營業日內曾發布處置，又因連續5個營業日經本中心公布注意交易資訊，爰自114年08月04日起10個營業日(114年08月04日至114年08月15日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每20分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。","395.50","235.42"
"30","114/07/31","3230","錦明","114/08/01~114/08/14","因連續3個營業日達本中心作業要點第四條第一項第一款","錦明實業股份有限公司股票(代號：3230)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自114年08月01日起10個營業日(114年08月01日至114年08月14日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。","48.30","13.92"
"31","114/07/31","52633","智崴三","114/08/01~114/08/14","因連續3個營業日達本中心作業要點第四條第一項第一款","智崴資訊科技股份有限公司國內第三次有擔保轉換公司債(代號：52633)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自114年08月01日起10個營業日(114年08月01日至114年08月14日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","108.00","N/A"
"32","114/07/29","6291","沛亨","114/07/30~114/08/12","因連續3個營業日達本中心作業要點第四條第一項第一款","沛亨半導體股份有限公司股票(代號：6291)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自114年07月30日起10個營業日(114年07月30日至114年08月12日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。","129.50","25.05"
"33","114/07/24","64421","光聖一","114/07/25~114/08/11","轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置","上市公司光紅建聖股份有限公司股票(代號：6442)因連續3個營業日經臺灣證券交易所公布注意交易資訊，依本中心「櫃檯買賣公布或通知注意交易資訊暨處置作業要點」第六條規定，爰自114年07月25日起12個營業日(114年07月25日至114年08月11日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)對光紅建聖股份有限公司國內第一次無擔保轉換公司債（代號：64421）改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","133.00","N/A"
"34","114/07/18","6499","益安","114/07/21~114/08/01","最近10個營業日內有6個營業日","益安生醫股份有限公司股票(代號：6499)最近30個營業日內曾發布處置，又因最近10個營業日內有6個營業日經本中心公布注意交易資訊，爰自114年07月21日起10個營業日(114年07月21日至114年08月01日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每20分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。","120.50","N/A"
"35","114/07/18","82101","勤誠一","114/07/21~114/08/01","轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置","上市公司勤誠興業股份有限公司股票(代號：8210)因最近10個營業日內有6個營業日經臺灣證券交易所公布注意交易資訊，依本中心「櫃檯買賣公布或通知注意交易資訊暨處置作業要點」第六條規定，爰自114年07月21日起10個營業日(114年07月21日至114年08月01日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)對勤誠興業股份有限公司國內第一次無擔保轉換公司債（代號：82101）改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","207.00","N/A"
"36","114/07/18","8472","夠麻吉","114/07/21~114/08/01","因連續3個營業日達本中心作業要點第四條第一項第一款","夠麻吉股份有限公司股票(代號：8472)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自114年07月21日起10個營業日(114年07月21日至114年08月01日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","49.95","N/A"
"37","114/07/17","1595","川寶","114/07/18~114/08/04","連續3個營業日及沖銷標準","川寶科技股份有限公司股票(代號：1595)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，且最近3個營業日曾達本中心作業要點第四條第一項第十三款經本中心公布注意交易資訊，爰自114年07月18日起12個營業日(114年07月18日至114年08月04日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。","40.60","N/A"
"38","114/07/17","15952","川寶二","114/07/18~114/08/04","轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置","川寶科技股份有限公司股票(代號：1595)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，且最近3個營業日曾達本中心作業要點第四條第一項第十三款經本中心公布注意交易資訊，爰自114年07月18日起12個營業日(114年07月18日至114年08月04日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)對川寶科技股份有限公司國內第二次無擔保轉換公司債（代號：15952）改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","110.00","N/A"
"39","114/07/16","37083","上緯投控三","114/07/17~114/08/01","轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置","上市公司上緯國際投資控股股份有限公司股票(代號：3708)因連續3個營業日經臺灣證券交易所公布注意交易資訊，依本中心「櫃檯買賣公布或通知注意交易資訊暨處置作業要點」第六條規定，爰自114年07月17日起12個營業日(114年07月17日至114年08月01日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)對上緯國際投資控股股份有限公司國內第三次有擔保轉換公司債（代號：37083）改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","124.60","N/A"
"40","114/07/16","37084","上緯投控四","114/07/17~114/08/01","轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置","上市公司上緯國際投資控股股份有限公司股票(代號：3708)因連續3個營業日經臺灣證券交易所公布注意交易資訊，依本中心「櫃檯買賣公布或通知注意交易資訊暨處置作業要點」第六條規定，爰自114年07月17日起12個營業日(114年07月17日至114年08月01日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)對上緯國際投資控股股份有限公司國內第四次無擔保轉換公司債（代號：37084）改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","120.50","N/A"
